epoch,loss,lr,val_cm,train_cm,test_cm,val_accuracy,test_accuracy
141,0.0728964440495474,7.22816979206239e-08,"[[895   2]
 [  0 841]]","[[1930   68]
 [  59 1997]]","[[683   0]
 [  0 683]]",99.8849252013809,100.0
142,0.07225509622367098,6.86676130245927e-08,"[[894   3]
 [  1 840]]","[[1923   75]
 [  54 2002]]","[[680   3]
 [  1 682]]",99.76985040276179,99.70717423133236
143,0.0715087618882535,6.523423237336307e-08,"[[890   7]
 [  2 839]]","[[1920   78]
 [  59 1997]]","[[672  11]
 [  1 682]]",99.48216340621404,99.12152269399706
144,0.06989555021573325,6.197252075469491e-08,"[[896   1]
 [  3 838]]","[[1944   54]
 [  74 1982]]","[[683   0]
 [  4 679]]",99.76985040276179,99.70717423133236
145,0.07549285225104542,5.887389471696016e-08,"[[895   2]
 [  1 840]]","[[1911   87]
 [  56 2000]]","[[683   0]
 [  1 682]]",99.82738780207134,99.9267935578331
146,0.059058041908429004,5.593019998111215e-08,"[[896   1]
 [  2 839]]","[[1939   59]
 [  54 2002]]","[[682   1]
 [  1 682]]",99.82738780207134,99.85358711566617
147,0.06580991935334167,5.313368998205654e-08,"[[897   0]
 [  2 839]]","[[1928   70]
 [  58 1998]]","[[682   1]
 [  1 682]]",99.8849252013809,99.85358711566617
148,0.07978212923626418,5.047700548295371e-08,"[[889   8]
 [  0 841]]","[[1911   87]
 [  71 1985]]","[[676   7]
 [  2 681]]",99.5397008055236,99.3411420204978
149,0.0737889018637361,4.795315520880602e-08,"[[896   1]
 [  0 841]]","[[1920   78]
 [  58 1998]]","[[683   0]
 [  1 682]]",99.94246260069045,99.9267935578331
150,0.0656749304398545,4.5555497448365717e-08,"[[896   1]
 [  0 841]]","[[1937   61]
 [  53 2003]]","[[683   0]
 [  0 683]]",99.94246260069045,100.0
151,0.05832872001337819,4.327772257594743e-08,"[[867  30]
 [  0 841]]","[[1931   67]
 [  46 2010]]","[[662  21]
 [  0 683]]",98.27387802071347,98.46266471449488
152,0.06624322838615623,4.111383644715006e-08,"[[895   2]
 [  0 841]]","[[1933   65]
 [  46 2010]]","[[683   0]
 [  0 683]]",99.8849252013809,100.0
153,0.06763865251559763,3.905814462479255e-08,"[[893   4]
 [  6 835]]","[[1928   70]
 [  47 2009]]","[[682   1]
 [  6 677]]",99.42462600690449,99.48755490483163
